"","pathway"
"571","C2CP - PID Hnf3b Pathway"
"572","C2CP - PID Ifng Pathway"
"573","C2CP - PID Igf1 Pathway"
"574","C2CP - PID IL1 Pathway"
"575","C2CP - PID IL12 2pathway"
"576","C2CP - PID IL12 Stat4 Pathway"
"577","C2CP - PID IL2 1pathway"
"578","C2CP - PID IL2 PI3K Pathway"
"579","C2CP - PID IL2/STAT5 Pathway"
"580","C2CP - PID IL23 Pathway"
"581","C2CP - PID IL27 Pathway"
"582","C2CP - PID IL3 Pathway"
"583","C2CP - PID IL4 2pathway"
"584","C2CP - PID IL5 Pathway"
"585","C2CP - PID IL6 7 Pathway"
"586","C2CP - PID IL8 CXCR1 Pathway"
"587","C2CP - PID IL8 CXCR2 Pathway"
"588","C2CP - PID Ilk Pathway"
"589","C2CP - PID Insulin Glucose Pathway"
"590","C2CP - PID Insulin Pathway"
"591","C2CP - PID Integrin A4b1 Pathway"
"592","C2CP - PID Integrin A9b1 Pathway"
"593","C2CP - PID Integrin Cs Pathway"
"594","C2CP - PID Integrin1 Pathway"
"595","C2CP - PID Integrin2 Pathway"
"596","C2CP - PID Integrin3 Pathway"
"597","C2CP - PID Integrin4 Pathway"
"598","C2CP - PID Integrin5 Pathway"
"599","C2CP - PID Kit Pathway"
"600","C2CP - PID Lis1 Pathway"
"601","C2CP - PID Lkb1 Pathway"
"602","C2CP - PID Lpa4 Pathway"
"603","C2CP - PID Lymph Angiogenesis Pathway"
"604","C2CP - PID Lysophospholipid Pathway"
"605","C2CP - PID MAPK TRK Pathway"
"606","C2CP - PID Met Pathway"
"607","C2CP - PID Mtor 4pathway"
"608","C2CP - PID MYC Activ Pathway"
"609","C2CP - PID MYC Pathway"
"610","C2CP - PID MYC Repress Pathway"
"611","C2CP - PID Ncadherin Pathway"
"612","C2CP - PID Nectin Pathway"
"613","C2CP - PID Nephrin Neph1 Pathway"
"614","C2CP - PID Netrin Pathway"
"615","C2CP - PID Nfat 3pathway"
"616","C2CP - PID Nfat Tfpathway"
"617","C2CP - PID Nfkappab Atypical Pathway"
"618","C2CP - PID Nfkappab Canonical Pathway"
"619","C2CP - PID Notch Pathway"
"620","C2CP - PID P38 Alpha Beta Downstream Pathway"
"621","C2CP - PID P38 Alpha Beta Pathway"
"622","C2CP - PID P38 Gamma Delta Pathway"
"623","C2CP - PID P38 Mk2 Pathway"
"624","C2CP - PID P38 Mkk3 6pathway"
"625","C2CP - PID P53 Downstream Pathway"
"626","C2CP - PID P53 Regulation Pathway"
"627","C2CP - PID P73pathway"
"628","C2CP - PID P75 Ntr Pathway"
"629","C2CP - PID Pdgfra Pathway"
"630","C2CP - PID Pdgfrb Pathway"
"631","C2CP - PID PI3K PLC TRK Pathway"
"632","C2CP - PID PI3Kci Akt Pathway"
"633","C2CP - PID PI3Kci Pathway"
"634","C2CP - PID Plk1 Pathway"
"635","C2CP - PID Prl Signaling Events Pathway"
"636","C2CP - PID Ps1 Pathway"
"637","C2CP - PID Ptp1b Pathway"
"638","C2CP - PID Rac1 Pathway"
"639","C2CP - PID Rac1 Reg Pathway"
"640","C2CP - PID Ranbp2 Pathway"
"641","C2CP - PID Ras Pathway"
"642","C2CP - PID Rb 1pathway"
"643","C2CP - PID Reelin Pathway"
"644","C2CP - PID Reg Gr Pathway"
"645","C2CP - PID Ret Pathway"
"646","C2CP - PID Retinoic Acid Pathway"
"647","C2CP - PID Rhoa Pathway"
"648","C2CP - PID Rhoa Reg Pathway"
"649","C2CP - PID Rhodopsin Pathway"
"650","C2CP - PID Rxr Vdr Pathway"
"651","C2CP - PID S1p Meta Pathway"
"652","C2CP - PID S1p S1p1 Pathway"
"653","C2CP - PID S1p S1p2 Pathway"
"654","C2CP - PID S1p S1p3 Pathway"
"655","C2CP - PID S1p S1p4 Pathway"
"656","C2CP - PID Shp2 Pathway"
"657","C2CP - PID Smad2 3nuclear Pathway"
"658","C2CP - PID Smad2 3pathway"
"659","C2CP - PID Syndecan 1 Pathway"
"660","C2CP - PID Syndecan 2 Pathway"
"661","C2CP - PID Syndecan 3 Pathway"
"662","C2CP - PID Syndecan 4 Pathway"
"663","C2CP - PID Tap63 Pathway"
"664","C2CP - PID Tcptp Pathway"
"665","C2CP - PID TCR Calcium Pathway"
"666","C2CP - PID TCR JNK Pathway"
"667","C2CP - PID TCR Pathway"
"668","C2CP - PID TCR Ras Pathway"
"669","C2CP - PID Telomerase Pathway"
"670","C2CP - PID TGFbr Pathway"
"671","C2CP - PID Thrombin Par1 Pathway"
"672","C2CP - PID Thrombin Par4 Pathway"
"673","C2CP - PID Tnf Pathway"
"674","C2CP - PID Toll Endogenous Pathway"
"675","C2CP - PID Trail Pathway"
"676","C2CP - PID TRKr Pathway"
"677","C2CP - PID Txa2pathway"
"678","C2CP - PID Upa Upar Pathway"
"679","C2CP - PID VEGF VEGFr Pathway"
"680","C2CP - PID VEGFr1 2 Pathway"
"681","C2CP - PID VEGFr1 Pathway"
"682","C2CP - PID Wnt Canonical Pathway"
"683","C2CP - PID Wnt Noncanonical Pathway"
"684","C2CP - PID Wnt Signaling Pathway"
"685","C2CP - Reactome 2 Ltr Circle Formation"
"686","C2CP - Reactome A Tetrasaccharide Linker Sequence Is Required for Gag Synthesis"
"687","C2CP - Reactome Abacavir Metabolism"
"688","C2CP - Reactome Abacavir Transmembrane Transport"
"689","C2CP - Reactome Abacavir Transport and Metabolism"
"690","C2CP - Reactome ABC Family Proteins Mediated Transport"
"691","C2CP - Reactome ABC Transporter Disorders"
"692","C2CP - Reactome ABC Transporters in Lipid Homeostasis"
"693","C2CP - Reactome Aberrant Regulation of Mitotic Exit in Cancer Due to Rb1 Defects"
"694","C2CP - Reactome Aberrant Regulation of Mitotic G1 S Transition in Cancer Due to Rb1 Defects"
"695","C2CP - Reactome Abortive Elongation of Hiv 1 Transcript in the Absence of Tat"
"696","C2CP - Reactome Acetylcholine Binding and Downstream Events"
"697","C2CP - Reactome Acetylcholine Inhibits Contraction of Outer Hair Cells"
"698","C2CP - Reactome Acetylcholine Neurotransmitter Release Cycle"
"699","C2CP - Reactome Acetylcholine Regulates Insulin Secretion"
"700","C2CP - Reactome Acrosome Reaction and Sperm Oocyte Membrane Binding"
"701","C2CP - Reactome Activated Notch1 Transmits Signal to the Nucleus"
"702","C2CP - Reactome Activated Ntrk2 Signals through Cdk5"
"703","C2CP - Reactome Activated Ntrk2 Signals through Frs2 and Frs3"
"704","C2CP - Reactome Activated Ntrk2 Signals through Fyn"
"705","C2CP - Reactome Activated Ntrk2 Signals through PI3K"
"706","C2CP - Reactome Activated Ntrk2 Signals through Ras"
"707","C2CP - Reactome Activated Ntrk3 Signals through PI3K"
"708","C2CP - Reactome Activated Ntrk3 Signals through Ras"
"709","C2CP - Reactome Activated Pkn1 Stimulates Transcription of Ar Androgen Receptor Regulated Genes Klk2 and Klk3"
"710","C2CP - Reactome Activated Tak1 Mediates P38 MAPK Activation"
"711","C2CP - Reactome Activation of Ampk Downstream of Nmdars"
"712","C2CP - Reactome Activation of Anterior Hox Genes in Hindbrain Development During Early Embryogenesis"
"713","C2CP - Reactome Activation of Atr in Response to Replication Stress"
"714","C2CP - Reactome Activation of Bad and Translocation to Mitochondria"
"715","C2CP - Reactome Activation of Bh3 Only Proteins"
"716","C2CP - Reactome Activation of C3 and C5"
"717","C2CP - Reactome Activation of Caspases through Apoptosome Mediated Cleavage"
"718","C2CP - Reactome Activation of Gene Expression by Srebf Srebp"
"719","C2CP - Reactome Activation of Irf3 Irf7 Mediated by Tbk1 Ikk Epsilon"
"720","C2CP - Reactome Activation of Kainate Receptors Upon Glutamate Binding"
"721","C2CP - Reactome Activation of Matrix Metalloproteinases"
"722","C2CP - Reactome Activation of Nima Kinases Nek9 Nek6 Nek7"
"723","C2CP - Reactome Activation of Nmda Receptors and Postsynaptic Events"
"724","C2CP - Reactome Activation of Noxa and Translocation to Mitochondria"
"725","C2CP - Reactome Activation of Ppargc1a Pgc 1alpha by Phosphorylation"
"726","C2CP - Reactome Activation of Puma and Translocation to Mitochondria"
"727","C2CP - Reactome Activation of Rac1"
"728","C2CP - Reactome Activation of Rac1 Downstream of Nmdars"
"729","C2CP - Reactome Activation of Ras in B Cells"
"730","C2CP - Reactome Activation of Smo"
"731","C2CP - Reactome Activation of the Ap 1 Family of Transcription Factors"
"732","C2CP - Reactome Activation of the MRNA Upon Binding of the Cap Binding Complex and Eifs and Subsequent Binding to 43s"
"733","C2CP - Reactome Activation of the Phototransduction Cascade"
"734","C2CP - Reactome Activation of the Pre Replicative Complex"
"735","C2CP - Reactome Activation of the Tfap2 Ap 2 Family of Transcription Factors"
"736","C2CP - Reactome Activation of TRKA Receptors"
"737","C2CP - Reactome Acyl Chain Remodeling of Cl"
"738","C2CP - Reactome Acyl Chain Remodeling of Dag and Tag"
"739","C2CP - Reactome Acyl Chain Remodelling of Pc"
"740","C2CP - Reactome Acyl Chain Remodelling of Pe"
"741","C2CP - Reactome Acyl Chain Remodelling of Pg"
"742","C2CP - Reactome Acyl Chain Remodelling of Pi"
"743","C2CP - Reactome Acyl Chain Remodelling of Ps"
"744","C2CP - Reactome Adaptive Immune System"
"745","C2CP - Reactome Adenylate Cyclase Activating Pathway"
"746","C2CP - Reactome Adenylate Cyclase Inhibitory Pathway"
"747","C2CP - Reactome Adherens Junctions Interactions"
"748","C2CP - Reactome Adora2b Mediated Anti Inflammatory Cytokines Production"
"749","C2CP - Reactome Adp Signalling through P2y Purinoceptor 1"
"750","C2CP - Reactome Adp Signalling through P2y Purinoceptor 12"
"751","C2CP - Reactome Adrenaline Noradrenaline Inhibits Insulin Secretion"
"752","C2CP - Reactome Adrenoceptors"
"753","C2CP - Reactome Advanced Glycosylation Endproduct Receptor Signaling"
"754","C2CP - Reactome Aflatoxin Activation and Detoxification"
"755","C2CP - Reactome Aggrephagy"
"756","C2CP - Reactome Akt Phosphorylates Targets in the Cytosol"
"757","C2CP - Reactome Akt Phosphorylates Targets in the Nucleus"
"758","C2CP - Reactome Alk Mutants Bind Tkis"
"759","C2CP - Reactome Alpha Defensins"
"760","C2CP - Reactome Alpha Linolenic Omega3 and Linoleic Omega6 Acid Metabolism"
"761","C2CP - Reactome Alpha Oxidation of Phytanate"
"762","C2CP - Reactome Alpha Protein Kinase 1 Signaling Pathway"
"763","C2CP - Reactome AlteRNAtive Complement Activation"
"764","C2CP - Reactome Amine Ligand Binding Receptors"
"765","C2CP - Reactome Amino Acid Conjugation"
"766","C2CP - Reactome Amino Acid Transport Across the Plasma Membrane"
"767","C2CP - Reactome Amino Acids Regulate mTORC1"
"768","C2CP - Reactome Ampk Inhibits Chrebp Transcriptional Activation Activity"
"769","C2CP - Reactome Amyloid Fiber Formation"
"770","C2CP - Reactome Anchoring Fibril Formation"
"771","C2CP - Reactome Anchoring of the Basal Body to the Plasma Membrane"
"772","C2CP - Reactome Androgen Biosynthesis"
"773","C2CP - Reactome Anti Inflammatory Response Favouring Leishmania Parasite Infection"
"774","C2CP - Reactome Antigen Activates B Cell Receptor BCR Leading to Generation of Second Messengers"
"775","C2CP - Reactome Antigen Presentation Folding Assembly and Peptide Loading of Class I MHC"
"776","C2CP - Reactome Antigen Processing Cross Presentation"
"777","C2CP - Reactome Antigen Processing Ubiquitination Proteasome Degradation"
"778","C2CP - Reactome Antimicrobial Peptides"
"779","C2CP - Reactome Antiviral Mechanism by Ifn Stimulated Genes"
"780","C2CP - Reactome Apc C CDC20 Mediated Degradation of Cyclin B"
"781","C2CP - Reactome Apc C Cdh1 Mediated Degradation of CDC20 and Other Apc C Cdh1 Targeted Proteins in Late Mitosis Early G1"
"782","C2CP - Reactome Apc C Mediated Degradation of Cell Cycle Proteins"
"783","C2CP - Reactome Apc CDC20 Mediated Degradation of Nek2a"
"784","C2CP - Reactome Apex1 Independent Resolution of Ap Sites via the Single Nucleotide Replacement Pathway"
"785","C2CP - Reactome Apobec3g Mediated Resistance to Hiv 1 Infection"
"786","C2CP - Reactome Apoptosis"
"787","C2CP - Reactome Apoptosis Induced DNA Fragmentation"
"788","C2CP - Reactome Apoptotic Cleavage of Cell Adhesion Proteins"
"789","C2CP - Reactome Apoptotic Cleavage of Cellular Proteins"
"790","C2CP - Reactome Apoptotic Execution Phase"
"791","C2CP - Reactome Apoptotic Factor Mediated Response"
"792","C2CP - Reactome Aquaporin Mediated Transport"
"793","C2CP - Reactome Arachidonate Production from Dag"
"794","C2CP - Reactome Arachidonic Acid Metabolism"
"795","C2CP - Reactome Arms Mediated Activation"
"796","C2CP - Reactome Aryl Hydrocarbon Receptor Signalling"
"797","C2CP - Reactome Asparagine N Linked Glycosylation"
"798","C2CP - Reactome Aspartate and Asparagine Metabolism"
"799","C2CP - Reactome Assembly and Cell Surface Presentation of Nmda Receptors"
"800","C2CP - Reactome Assembly of Active Lpl and Lipc Lipase Complexes"
"801","C2CP - Reactome Assembly of Collagen Fibrils and Other Multimeric Structures"
"802","C2CP - Reactome Assembly of the Hiv Virion"
"803","C2CP - Reactome Assembly of the Orc Complex at the Origin of Replication"
"804","C2CP - Reactome Association of Tric Cct with Target Proteins During Biosynthesis"
"805","C2CP - Reactome Asymmetric Localization of Pcp Proteins"
"806","C2CP - Reactome Atf4 Activates Genes in Response to Endoplasmic Reticulum Stress"
"807","C2CP - Reactome Atf6 Atf6 Alpha Activates Chaperone Genes"
"808","C2CP - Reactome Atf6 Atf6 Alpha Activates Chaperones"
"809","C2CP - Reactome Attachment and Entry"
"810","C2CP - Reactome Attachment of Gpi Anchor to Upar"
"811","C2CP - Reactome Attenuation Phase"
"812","C2CP - Reactome Auf1 Hnrnp D0 Binds and Destabilizes MRNA"
"813","C2CP - Reactome Aurka Activation by Tpx2"
"814","C2CP - Reactome Autophagy"
"815","C2CP - Reactome B Wich Complex Positively Regulates RRNA Expression"
"816","C2CP - Reactome Base Excision Repair"
"817","C2CP - Reactome Base Excision Repair Ap Site Formation"
"818","C2CP - Reactome Basigin Interactions"
"819","C2CP - Reactome Bbsome Mediated Cargo Targeting to Cilium"
"820","C2CP - Reactome Beta Catenin Independent Wnt Signaling"
"821","C2CP - Reactome Beta Catenin Phosphorylation Cascade"
"822","C2CP - Reactome Beta Defensins"
"823","C2CP - Reactome Beta Oxidation of Butanoyl Coa to Acetyl Coa"
"824","C2CP - Reactome Beta Oxidation of Decanoyl Coa to Octanoyl Coa Coa"
"825","C2CP - Reactome Beta Oxidation of Hexanoyl Coa to Butanoyl Coa"
"826","C2CP - Reactome Beta Oxidation of Lauroyl Coa to Decanoyl Coa Coa"
"827","C2CP - Reactome Beta Oxidation of Octanoyl Coa to Hexanoyl Coa"
"828","C2CP - Reactome Beta Oxidation of Pristanoyl Coa"
"829","C2CP - Reactome Beta Oxidation of Very Long Chain Fatty Acids"
"830","C2CP - Reactome Bh3 Only Proteins Associate with and Inactivate Anti Apoptotic Bcl 2 Members"
"831","C2CP - Reactome Bicarbonate Transporters"
"832","C2CP - Reactome Bile Acid and Bile Salt Metabolism"
"833","C2CP - Reactome Binding and Uptake of Ligands by Scavenger Receptors"
"834","C2CP - Reactome Binding of Tcf Lef Ctnnb1 to Target Gene Promoters"
"835","C2CP - Reactome Biological Oxidations"
"836","C2CP - Reactome Biosynthesis of Epa Derived Spms"
"837","C2CP - Reactome Biosynthesis of Maresin Like Spms"
"838","C2CP - Reactome Biosynthesis of Maresins"
"839","C2CP - Reactome Biosynthesis of Specialized Proresolving Mediators Spms"
"840","C2CP - Reactome Biosynthesis of the N Glycan Precursor Dolichol Lipid Linked Oligosaccharide Llo and Transfer to A Nascent Protein"
"841","C2CP - Reactome Biotin Transport and Metabolism"
"842","C2CP - Reactome Blood Group Systems Biosynthesis"
"843","C2CP - Reactome Bmal1 Clock Npas2 Activates Circadian Gene Expression"
"844","C2CP - Reactome Branched Chain Amino Acid Catabolism"
"845","C2CP - Reactome Budding and Maturation of Hiv Virion"
"846","C2CP - Reactome Butyrate Response Factor 1 Brf1 Binds and Destabilizes MRNA"
"847","C2CP - Reactome Butyrophilin Btn Family Interactions"
"848","C2CP - Reactome C Type Lectin Receptors Clrs"
"849","C2CP - Reactome Ca Dependent Events"
"850","C2CP - Reactome Ca2 Activated K Channels"
"851","C2CP - Reactome Ca2 Pathway"
"852","C2CP - Reactome Calcineurin Activates Nfat"
"853","C2CP - Reactome Calcitonin Like Ligand Receptors"
"854","C2CP - Reactome Calnexin Calreticulin Cycle"
"855","C2CP - Reactome Camk Iv Mediated Phosphorylation of Creb"
"856","C2CP - Reactome Carboxyterminal Post Translational Modifications of Tubulin"
"857","C2CP - Reactome Cardiac Conduction"
"858","C2CP - Reactome Cargo Concentration in the Er"
"859","C2CP - Reactome Cargo Recognition for Clathrin Mediated Endocytosis"
"860","C2CP - Reactome Cargo Trafficking to the Periciliary Membrane"
"861","C2CP - Reactome Carnitine Metabolism"
"862","C2CP - Reactome Caspase Activation via Death Receptors in the Presence of Ligand"
"863","C2CP - Reactome Caspase Activation via Dependence Receptors in the Absence of Ligand"
"864","C2CP - Reactome Caspase Activation via Extrinsic Apoptotic Signalling Pathway"
"865","C2CP - Reactome Caspase Mediated Cleavage of Cytoskeletal Proteins"
"866","C2CP - Reactome Cation Coupled Chloride Cotransporters"
"867","C2CP - Reactome Cd163 Mediating An Anti Inflammatory Response"
"868","C2CP - Reactome Cd209 Dc Sign Signaling"
"869","C2CP - Reactome Cd22 Mediated BCR Regulation"
"870","C2CP - Reactome Cd28 Co Stimulation"
"871","C2CP - Reactome Cd28 Dependent PI3K Akt Signaling"
"872","C2CP - Reactome Cd28 Dependent Vav1 Pathway"
"873","C2CP - Reactome CDC42 Gtpase Cycle"
"874","C2CP - Reactome CDC6 Association with the Orc Origin Complex"
"875","C2CP - Reactome Cdt1 Association with the CDC6 Orc Origin Complex"
"876","C2CP - Reactome Cell Cell Communication"
"877","C2CP - Reactome Cell Cell Junction Organization"
"878","C2CP - Reactome Cell Cycle"
"879","C2CP - Reactome Cell Cycle Checkpoints"
"880","C2CP - Reactome Cell Cycle Mitotic"
"881","C2CP - Reactome Cell Death Signalling via Nrage Nrif and Nade"
"882","C2CP - Reactome Cell Extracellular Matrix Interactions"
"883","C2CP - Reactome Cell Junction Organization"
"884","C2CP - Reactome Cell Surface Interactions at the Vascular Wall"
"885","C2CP - Reactome Cellular Hexose Transport"
"886","C2CP - Reactome Cellular Response to Chemical Stress"
"887","C2CP - Reactome Cellular Response to Heat Stress"
"888","C2CP - Reactome Cellular Response to Hypoxia"
"889","C2CP - Reactome Cellular Response to Starvation"
"890","C2CP - Reactome Cellular Responses to Stimuli"
"891","C2CP - Reactome Cellular Senescence"
"892","C2CP - Reactome Cgmp Effects"
"893","C2CP - Reactome Chaperone Mediated Autophagy"
"894","C2CP - Reactome Chemokine Receptors Bind Chemokines"
"895","C2CP - Reactome Chk1 Chk2 Cds1 Mediated Inactivation of Cyclin B Cdk1 Complex"
"896","C2CP - Reactome Chl1 Interactions"
"897","C2CP - Reactome Cholesterol Biosynthesis"
"898","C2CP - Reactome Choline Catabolism"
"899","C2CP - Reactome Chondroitin Sulfate Biosynthesis"
"900","C2CP - Reactome Chondroitin Sulfate Dermatan Sulfate Metabolism"
"901","C2CP - Reactome Chrebp Activates Metabolic Gene Expression"
"902","C2CP - Reactome Chromatin Modifying Enzymes"
"903","C2CP - Reactome Chromosome Maintenance"
"904","C2CP - Reactome Chylomicron Assembly"
"905","C2CP - Reactome Chylomicron Clearance"
"906","C2CP - Reactome Chylomicron Remodeling"
"907","C2CP - Reactome Cilium Assembly"
"908","C2CP - Reactome Circadian Clock"
"909","C2CP - Reactome Citric Acid Cycle Tca Cycle"
"910","C2CP - Reactome Class A 1 Rhodopsin Like Receptors"
"911","C2CP - Reactome Class B 2 Secretin Family Receptors"
"912","C2CP - Reactome Class C 3 Metabotropic Glutamate Pheromone Receptors"
"913","C2CP - Reactome Class I MHC Mediated Antigen Processing Presentation"
"914","C2CP - Reactome Class I Peroxisomal Membrane Protein Import"
"915","C2CP - Reactome Clathrin Mediated Endocytosis"
"916","C2CP - Reactome Clec7a Dectin 1 Induces Nfat Activation"
"917","C2CP - Reactome Clec7a Dectin 1 Signaling"
"918","C2CP - Reactome Clec7a Inflammasome Pathway"
"919","C2CP - Reactome Cobalamin Cbl Vitamin B12 Transport and Metabolism"
"920","C2CP - Reactome Coenzyme A Biosynthesis"
"921","C2CP - Reactome Cohesin Loading Onto Chromatin"
"922","C2CP - Reactome Collagen Biosynthesis and Modifying Enzymes"
"923","C2CP - Reactome Collagen Chain Trimerization"
"924","C2CP - Reactome Collagen Degradation"
"925","C2CP - Reactome Collagen Formation"
"926","C2CP - Reactome Common Pathway of Fibrin Clot Formation"
"927","C2CP - Reactome Competing Endogenous RNAs CeRNAs Regulate PTEN Translation"
"928","C2CP - Reactome Complement Cascade"
"929","C2CP - Reactome Complex I Biogenesis"
"930","C2CP - Reactome Condensation of Prometaphase Chromosomes"
"931","C2CP - Reactome Condensation of Prophase Chromosomes"
"932","C2CP - Reactome Conjugation of Benzoate with Glycine"
"933","C2CP - Reactome Constitutive Signaling by Aberrant PI3K in Cancer"
"934","C2CP - Reactome Constitutive Signaling by Akt1 E17k in Cancer"
"935","C2CP - Reactome Constitutive Signaling by Egfrviii"
"936","C2CP - Reactome Constitutive Signaling by Ligand Responsive Egfr Cancer Variants"
"937","C2CP - Reactome Constitutive Signaling by Overexpressed Erbb2"
"938","C2CP - Reactome Conversion from Apc C CDC20 to Apc C Cdh1 in Late Anaphase"
"939","C2CP - Reactome Cooperation of Pdcl Phlp1 and Tric Cct in G Protein Beta Folding"
"940","C2CP - Reactome Cooperation of Prefoldin and Tric Cct in Actin and Tubulin Folding"
"941","C2CP - Reactome Copi Dependent Golgi to Er Retrograde Traffic"
"942","C2CP - Reactome Copi Independent Golgi to Er Retrograde Traffic"
"943","C2CP - Reactome Copi Mediated Anterograde Transport"
"944","C2CP - Reactome Copii Mediated Vesicle Transport"
"945","C2CP - Reactome Costimulation by the Cd28 Family"
"946","C2CP - Reactome Creatine Metabolism"
"947","C2CP - Reactome Creation of C4 and C2 Activators"
"948","C2CP - Reactome Creb Phosphorylation"
"949","C2CP - Reactome Creb1 Phosphorylation through Nmda Receptor Mediated Activation of Ras Signaling"
"950","C2CP - Reactome Creb1 Phosphorylation through the Activation of Adenylate Cyclase"
"951","C2CP - Reactome Creb1 Phosphorylation through the Activation of Camkii Camkk Camkiv Cascasde"
"952","C2CP - Reactome Creb3 Factors Activate Genes"
"953","C2CP - Reactome Cristae Formation"
"954","C2CP - Reactome Crmps in Sema3a Signaling"
"955","C2CP - Reactome Cross Presentation of Particulate Exogenous Antigens Phagosomes"
"956","C2CP - Reactome Cross Presentation of Soluble Exogenous Antigens Endosomes"
"957","C2CP - Reactome Crosslinking of Collagen Fibrils"
"958","C2CP - Reactome Cs Ds Degradation"
"959","C2CP - Reactome Ctla4 Inhibitory Signaling"
"960","C2CP - Reactome Cyclin A B1 B2 Associated Events During G2 M Transition"
"961","C2CP - Reactome Cyclin A Cdk2 Associated Events at S Phase Entry"
"962","C2CP - Reactome Cyclin D Associated Events in G1"
